#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
281,"Arms Tonite","Mother Mother",68,140,"","O My Heart",2008-09-23,03:36,69,65,10,0,33,0,10,-4,E Major,4,2025-07-24,5plW0IS6XNNFFvLCH15edI,12B,CAL450882110
282,"Never The Muse","Madilyn Mei",56,112,"","Never The Muse",2024-08-01,05:12,67,53,76,0,46,0,20,-9,C Minor,3,2025-07-24,2Vhkfu6ZDlFsY62eIUUvCQ,5A,QZTAT2487571
283,"Inarticulation","Rio Romeo",65,131,"","Inarticulation",2022-09-02,02:43,49,41,80,0,57,0,10,-8,B Major,3,2025-07-24,4G1cgeULyEsr9Nak5PlQA6,1B,UK6KW2200111
284,"Curses","The Crane Wives",67,191,"","Foxlore",2016-04-02,03:48,34,71,47,0,58,10,0,-7,B Minor,4,2025-07-24,5PqUrRRbNsjMCM2o61istC,10A,QMUU81610766
285,"Bitchboy","The Oozes",59,107,"riot grrrl, queercore","Bitchboy",2021-05-21,01:47,63,75,0,0,80,0,80,-10,F Minor,4,2025-07-24,1QQ0bhZ39lG5LVjWIGiryS,4A,QZHN42135114
286,"Blah Blah Blah","The Oozes",57,90,"riot grrrl, queercore","Blah Blah Blah",2020-01-01,03:52,39,71,1,6,36,0,10,-7,E Major,4,2025-07-24,68zOCCxXsZGjKy8ucA3UeW,12B,QZHN82047463
287,"Godspeed","Shayfer James",36,165,"","Counterfeit Arcade",2011-11-29,03:43,54,56,15,0,31,0,0,-8,D Major,3,2025-07-24,0Jbe7lcwFY5DgX4abMPigH,10B,USRF71100010
288,"Bur man laimi","Tautumeitas",65,140,"","Bur man laimi",2024-12-04,02:58,33,83,6,0,42,10,20,-6,A Major,4,2025-07-24,6oGrwxJItvG261mLBk6DmK,11B,QMDA72474127
289,"Sweet Cis Teen","Dazey and the Scouts",0,126,"riot grrrl, queercore","Maggot",2017-04-13,04:33,25,85,0,28,30,0,70,-6,D Major,4,2025-07-24,3BtI05wNziDrIODXJqdKkK,10B,QMPKX1723033
290,"Dyltgir?","Rio Romeo",54,74,"","Dyltgir?",2020-09-26,02:34,46,55,74,0,51,0,60,-9,B Major,4,2025-07-24,2LoeqKJDHiMwWfnjrvOBIm,1B,QZK6G2003904
291,"And the Hound","Yaelokre",64,145,"","And the Hound",2024-01-06,03:23,53,52,63,0,21,0,30,-11,B Minor,4,2025-07-24,7K59Lt75PBN9VISevo3eYC,10A,QZES82432204
292,"At The Cemetery","Madilyn Mei,cloudkissed",54,84,"","Promise You Won't Scream",2023-10-27,03:32,58,20,87,0,42,10,0,-13,B Major,4,2025-07-24,0AgLtRVjfzbKhESJe6nlCO,1B,QZTB72363903
293,"Misery Fell","Tally Hall",52,131,"","Good & Evil",2011-06-21,03:34,67,41,19,0,57,0,0,-8,G#/A♭ Major,4,2025-07-24,01BMA2zYOX51Vz7QHdSAgO,4B,TCAAX1184874
294,"Neath the grove is a heart","Yaelokre",62,140,"","Neath the grove is a heart",2024-01-08,05:30,57,36,81,0,39,0,0,-11,E Minor,4,2025-07-24,3eeM8nJ8kaxDzIEqhRFqu4,9A,QZES82432205
